"norm_cidade","LOCAL_VOTACAO","Escola",match
"ARACATU","ESCOLA RURAL DE ARACATU","ESCOLA MUNICIPAL RURAL DE ARACATU",1
"GUAJERU","GRUPO ESCOLAR 2 DE JULHO","ESCOLA MUNICIPAL DOIS DE JULHO - A",1
"IBIASSUCE","GRUPO ESCOLAR SANTO ANTONIO","ESCOLA MUNICIPAL DE SANTO ANTONIO",1
"BROTAS DE MACAUBAS","ESCOLA BOM JESUS","ESCOLA MUNICIPAL DE 1º GRAU BOM JESUS",1
"IPUPIARA","ESCOLA MUNICIPAL D. TIAGO GLOING","ESCOLA MUNICIPAL DOM TIAGO CLOIM",1
"OLIVEIRA DOS BREJINHOS","ESCOLA MUNICIPAL MARIA EUGENIA","ESCOLA MUNICIPAL PROFESSORA MARIA EUGENIA GUEDES",1
"OLIVEIRA DOS BREJINHOS","ESCOLA MUNICIPAL SANTA RITA","ESC STA RITA",1
"PRESIDENTE DUTRA","ESCOLA MUNICIPAL ADAUTO VIANA","COLEGIO MUL ADALTO VIANA",1
"SANTA RITA DE CASSIA","PREDIO ESCOLAR LUIS VIANA FILHO","EE - COLEGIO ESTADUAL LUIZ VIANA",1
"COTEGIPE","PREDIO ESCOLAR JOAO PEREIRA","ESCOLA MUNICIPAL JOSE JOAO PEREIRA",1
"WANDERLEY","PREDIO ESCOLAR ANTONIO BARBOSA","ESCOLA MUNICIPAL ANTONIO BARBOSA PINTO",1
"CANAPOLIS","PREDIO ESCOLAR JOANA ANGELICA","ESCOLA MUNICIPAL MADRE JOANA ANGELICA",1
"JUSSIAPE","ESCOLA MUNICIPAL ERALDO TINOCO","ESCOLA MUNICIPAL DR ERALDO TINOCO MELO",1
"LIVRAMENTO DE NOSSA SENHORA","ESCOLA MUNICIPAL ORLANDO TANAJURA","ESCOLA MUNICIPAL ORLANDO TANAJURA ARAUJO",1
"QUEIMADAS","ESCOLA SEVERIANO GONCALVES","ESCOLA SEVERIANO GONCALVES DE SOUZA",1
"QUEIMADAS","ESCOLA MARIA JOVITA","ESCOLA MARIA JOVITA DOS REIS",1
"ITATIM","CENTRO EDUCACIONAL DE ITATIM","ESCOLA MUNICIPAL CENTRO EDUCACIONAL DE ITATIM",1
"SAO GONCALO DOS CAMPOS","ESCOLA 15 DE NOVEMBRO","ESC MUL QUINZE DE NOVEMBRO",1
"HELIOPOLIS","ESCOLA CASTRO ALVES","EMEIEF CASTRO ALVES",1
"HELIOPOLIS","PREDIO ESCOLAR DE 1 GRAU D.PEDRO I","ESCOLA MUL DE 1 GRAU D PEDRO I",1
"HELIOPOLIS","PREDIO ESCOLAR PRESIDENTE TANCREDO NEVES","EMEIEF TANCREDO NEVES",1
"ERICO CARDOSO","PREDIO ESCOLA MUNICIPAL DE VEREDA","ESCOLA MUNICIPAL DE VEREDA",1
"ALCOBACA","CENTRO EDUCACIONAL DE ALCOBACA","CENTRO EDUCACIONAL MUNIC DE ALCOBACA",1
"ALCOBACA","ESCOLA MUNICIPAL NOVO DESTINO","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL NOVO DESTINO",1
"ALCOBACA","CENTRO EDUCACIONAL DE POUSO ALEGRE","ESCOLA NUCLEO MUNICIPAL DO ENSINO FUNDAMENTAL POUSO ALEGRE",1
"ALCOBACA","CENTRO EDUCACIONAL DE SAO JOSE","ESC MUL ENS FUND SAO JOSE",1
"ALCOBACA","ESCOLA MUNICIPAL MARIA QUITERIA","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL MARIA QUITERIA",1
"ALCOBACA","ESCOLA MUNICIPAL BOM JESUS","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL BOM JESUS",1
"CARAVELAS","GRUPO ESCOLAR ALDA NUNES","ESCOLA MUNICIPAL ALDA NUNES SANTOS",1
"CANDEAL","ESCOLA MUNICIPAL DR  AUGUSTO MATIAS","ESC DR AUGUSTO MATIAS DA SILVA",1
"PINDOBACU","ESCOLA MUNICIPAL AURELIO BRAZ","ESCOLA MUNICIPAL AURELIO BRAZ DA SILVA",1
"UNA","ESCOLA MUNICIPAL DAVI PINHEIRO","ESCOLA MUNICIPAL DAVID SOARES PINHEIRO",1
"URANDI","GRUPO ESCOLAR D PEDRO II","EE - ESCOLA MUNICIPAL DOM PEDRO II",1
"MARAGOGIPE","ESCOLA MUNICIPAL SILVIO V. MELO","ESC SILVIO VIEIRA MELO",1
"ITAETE","COLEGIO MUNICIPAL DE COLONIA","COLEGIO MUL DE COLONIA DE 1º GRAU",1
"MUCUGE","ESCOLA ANA NERY","ESCOLA MUNICIPAL ANA NERE",1
"VALENTE","PREDIO ESCOLAR SAMUEL MOTA","ESCOLA SAMUEL BATISTA MOTA",1
"SANTA CRUZ CABRALIA","COLEGIO ESTADUAL INDIGENA COROA VERMELHA","ESCOLA INDIGENA PATAXO COROA VERMELHA",1
"TEOFILANDIA","ESCOLA MUNICIPAL GABRIEL ARCANJO","ESCOLA GABRIEL ARCANJO DA PAIXAO",1
"CANDEIAS","ESCOLA MUNICIPAL ALZIRA FERREIRA","ESCOLA MUNICIPAL PROFª ALZIRA FERREIRA RIBEIRO",1
"SAO SEBASTIAO DO PASSE","ESCOLA JANUARIO RIBEIRO","ESCOLA MUNICIPAL JANUARIO RIBEIRO DA SILVA",1
"CATU","ESCOLA ISABEL DE MELO GOES","EE - COLEGIO ESTADUAL MARIA ISABEL DE MELO GOES",1
"CATU","ESCOLA PROFESSORA GEMINIANA ASSUNCAO","ESCOLA MUNICIPAL GEMINIANA SOUZA ASSUNCAO",1
"CONCEICAO DO COITE","ESCOLA MUNICIPAL JOAO RODRIGUES","ESCOLA JOAO RODRIGUES DA SILVA",1
"COARACI","CENTRO EDUCACIONAL JAIME PEREIRA","CENTRO EDUCACIONAL JAIME PEREIRA DA SILVA",1
"PLANALTO","ESCOLA MUNICIPAL 13 DE MAIO","ESC MUL TREZE DE MAIO",1
"IBICUI","ESCOLINHA TIA TUTU","ESCOLA TIA TUTU",1
"IBICUI","ESCOLA JOSEFA VIANA","PREDIO ESCOLAR JOSEFA VIANA SANTOS",1
"IGUAI","GRUPO ESCOLAR DANTAS REGO","GRUPO ESCOLAR MOISES DANTAS REGO",1
"NOVA CANAA","ANA BRITO","ESC MUN ANA BRITO",1
"BIRITINGA","ESCOLA MUNICIPAL ELIODORIO BISPO","ESCOLA MUNICIPAL HELIODORIO BISPO DA SILVA",1
"SERRINHA","COLEGIO ESTADUAL DE SANTANA","ESCOLA SANT ANNA",1
"PIRAI DO NORTE","ESCOLA MUNICIPAL 2 DE MAIO","ESC DOIS DE MAIO",1
"RIBEIRAO DO LARGO","ESCOLA MUNICIPAL FRANCINO ROCHA","CRECHE ESCOLA FRANCINO ROCHA",1
"MEDEIROS NETO","GRUPO ESCOLAR MUNICIPAL GENTIL AGUILAR","ESCOLA MUNICIPAL GENTIL SILVA AGUILAR",1
"FEIRA DE SANTANA","ESCOLA MUNICIPAL XV DE NOVEMBRO","ESCOLA MUNICIPAL QUINZE DE NOVEMBRO",1
"ABARE","GRUPO ESCOLAR ISABEL REZENDE","GRUPO ESCOLAR ISABEL DA SILVA RESENDE",1
"CHORROCHO","ESCOLA ESTADUAL DE SAO JOSE I","EE - COLEGIO ESTADUAL SAO JOSE",1
"JUSSARA","PREDIO ESCOLAR ROBERTO SANTOS","ESCOLA MUNICIPAL PROFESSOR ROBERTO SANTOS - CNEC",1
"JUSSARA","PREDIO ESCOLAR MUNICIPAL JOAQUIM DA SILVA","ESCOLA MUNICIPAL JOSE JOAQUIM DA SILVA",1
"ANAGE","ESCOLA MUNICIPAL PADRE ANCHIETA","ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA",1
"CARAIBAS","ESCOLA MUNICIPAL FANCISCO MELVINO","ESCOLA MUNICIPAL FRANCISCO MELVINO DA SILVA",1
"SAO FRANCISCO DO CONDE","ESCOLA JULIETA PORCIUNCULA","ESCOLA JULIETA RIBEIRO PORCIUNCULA",1
"SAO FRANCISCO DO CONDE","ESCOLA ALMIR PINTO","ESCOLA ALMIR PINTO DA CUNHA",1
